Education Level,Institution Type,Gender,Age,Device,IT Student,Location,Financial Condition,Internet Type,Network Type,Flexibility Level
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,3G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,0
2,Private,0,23,Mobile,Yes,1,Mid,1,4G,2
1,Private,1,11,Mobile,No,1,Mid,1,4G,2
2,Public,1,27,Mobile,No,0,Poor,0,4G,1
2,Private,1,23,Mobile,No,0,Mid,0,4G,2
2,Private,1,23,Computer,Yes,1,Mid,1,4G,2
2,Private,1,23,Computer,Yes,1,Mid,1,3G,2
2,Private,1,23,Mobile,Yes,1,Poor,0,3G,1
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
2,Private,0,18,Computer,Yes,1,Mid,1,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Public,0,11,Mobile,No,0,Poor,0,2G,1
2,Private,1,23,Mobile,Yes,1,Mid,1,4G,2
0,Public,1,18,Mobile,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Mid,1,4G,1
1,Private,0,11,Computer,No,1,Mid,1,4G,2
0,Private,0,18,Mobile,No,0,Mid,0,3G,1
1,Private,1,11,Mobile,Yes,1,Mid,0,4G,2
1,Private,0,9,Mobile,No,1,Poor,1,4G,2
1,Public,1,11,Computer,No,1,Mid,1,4G,2
1,Private,0,11,Mobile,No,1,Mid,0,3G,2
1,Private,0,11,Computer,No,1,Mid,1,4G,2
2,Private,1,23,Tab,No,1,Mid,1,4G,2
2,Private,0,23,Mobile,No,1,Mid,1,3G,0
1,Public,1,10,Mobile,No,1,Mid,0,4G,1
0,Private,0,18,Mobile,No,1,Mid,1,4G,1
1,Public,1,11,Mobile,No,0,Mid,0,3G,1
2,Private,1,23,Mobile,Yes,1,Poor,0,3G,2
0,Private,0,18,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Computer,No,1,Mid,1,4G,2
2,Public,1,27,Computer,Yes,1,Mid,1,4G,1
2,Private,1,23,Computer,Yes,1,Mid,1,4G,1
0,Public,1,18,Mobile,No,0,Poor,0,3G,2
2,Private,0,23,Mobile,Yes,0,Mid,0,3G,2
0,Private,0,18,Computer,No,1,Mid,1,4G,2
1,Private,0,18,Mobile,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,3G,2
2,Private,0,18,Computer,Yes,1,Mid,1,4G,2
1,Private,0,11,Mobile,No,1,Poor,0,3G,1
2,Public,0,23,Mobile,No,1,Mid,0,4G,1
0,Public,1,18,Mobile,No,1,Mid,1,4G,2
1,Public,0,11,Mobile,No,1,Mid,1,4G,1
2,Private,1,23,Computer,Yes,1,Rich,1,4G,0
2,Private,0,23,Mobile,Yes,1,Mid,1,3G,2
2,Public,1,23,Mobile,Yes,0,Mid,0,3G,1
2,Private,1,23,Mobile,Yes,0,Mid,0,3G,0
0,Public,1,18,Mobile,No,1,Poor,0,4G,1
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
2,Public,1,23,Computer,Yes,1,Mid,1,4G,1
1,Private,0,18,Mobile,No,1,Poor,0,3G,1
2,Private,0,23,Mobile,No,1,Mid,0,4G,2
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
1,Private,0,11,Mobile,No,1,Mid,0,4G,2
1,Private,0,11,Mobile,No,1,Poor,0,3G,1
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
1,Private,0,11,Mobile,Yes,1,Mid,0,3G,2
0,Private,0,18,Mobile,No,0,Mid,0,3G,2
2,Public,1,23,Mobile,No,0,Poor,0,3G,1
2,Private,1,23,Computer,No,1,Mid,1,4G,2
2,Private,1,23,Computer,Yes,1,Poor,1,3G,2
1,Private,1,11,Mobile,No,1,Mid,1,4G,1
2,Private,0,23,Mobile,No,1,Poor,1,4G,1
2,Public,0,23,Mobile,No,0,Mid,0,2G,1
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
0,Public,1,18,Mobile,No,0,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Rich,0,4G,0
1,Private,1,10,Mobile,No,1,Rich,1,4G,2
2,Private,1,23,Computer,Yes,1,Mid,1,4G,1
2,Public,1,23,Computer,Yes,1,Mid,0,3G,1
1,Private,1,9,Mobile,No,1,Poor,0,4G,1
2,Public,1,27,Computer,Yes,1,Rich,1,4G,0
1,Private,0,9,Mobile,No,1,Mid,0,4G,2
2,Private,1,23,Computer,Yes,1,Mid,0,3G,2
2,Private,1,23,Mobile,Yes,1,Mid,1,3G,1
2,Private,1,23,Mobile,Yes,0,Mid,0,3G,0
2,Public,1,18,Mobile,No,0,Poor,0,4G,2
1,Public,1,10,Mobile,No,0,Mid,0,3G,1
0,Public,0,18,Mobile,No,0,Poor,0,4G,1
1,Private,0,11,Mobile,No,1,Mid,0,4G,2
0,Public,1,23,Mobile,No,0,Poor,0,3G,1
2,Public,1,27,Mobile,No,0,Mid,0,4G,0
1,Private,0,11,Mobile,No,1,Mid,0,4G,2
0,Public,1,18,Mobile,Yes,1,Mid,0,4G,1
2,Private,1,23,Computer,Yes,1,Mid,1,3G,2
2,Public,0,27,Mobile,No,1,Mid,1,4G,1
0,Private,0,18,Mobile,No,1,Mid,1,4G,1
2,Private,1,23,Computer,Yes,1,Rich,1,4G,0
1,Public,1,11,Mobile,No,1,Mid,0,4G,2
2,Private,1,23,Computer,Yes,1,Mid,1,4G,1
1,Private,0,11,Mobile,No,1,Poor,1,3G,2
0,Public,1,18,Mobile,Yes,1,Mid,0,4G,1
2,Private,0,18,Mobile,Yes,1,Mid,0,3G,1
1,Private,0,18,Mobile,No,1,Poor,0,3G,1
1,Public,1,11,Computer,No,1,Mid,1,4G,2
1,Private,1,9,Mobile,No,1,Mid,1,4G,1
1,Private,0,9,Mobile,No,1,Mid,1,4G,2
2,Private,0,23,Computer,No,1,Rich,1,4G,2
0,Private,0,18,Mobile,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
1,Private,0,11,Mobile,Yes,1,Mid,0,3G,2
2,Public,0,23,Mobile,No,1,Mid,0,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
2,Private,1,23,Tab,No,1,Mid,1,4G,2
1,Private,1,11,Mobile,No,1,Poor,1,4G,1
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
1,Public,1,18,Mobile,No,0,Poor,0,3G,1
0,Public,0,18,Mobile,No,0,Mid,0,4G,1
2,Private,1,23,Mobile,Yes,1,Mid,1,3G,1
0,Public,1,18,Mobile,No,1,Poor,0,4G,1
1,Private,1,11,Mobile,Yes,1,Poor,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,3G,2
1,Public,0,11,Mobile,No,1,Mid,1,3G,1
1,Public,1,10,Mobile,No,1,Mid,0,4G,1
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
2,Private,1,23,Mobile,Yes,1,Mid,1,4G,2
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
1,Public,1,11,Mobile,No,1,Mid,1,4G,0
2,Private,1,27,Computer,Yes,1,Mid,1,4G,2
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
2,Public,0,27,Mobile,No,1,Mid,1,4G,1
2,Private,0,23,Mobile,Yes,1,Mid,1,3G,1
1,Public,0,11,Mobile,No,0,Poor,0,2G,1
1,Public,0,18,Mobile,No,0,Rich,0,4G,0
0,Public,0,18,Mobile,No,0,Mid,0,3G,1
0,Private,0,18,Computer,No,1,Mid,1,4G,2
0,Public,0,23,Mobile,Yes,1,Mid,0,4G,2
1,Public,1,18,Mobile,No,1,Rich,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Private,0,18,Mobile,No,1,Poor,0,3G,1
2,Private,1,23,Mobile,Yes,1,Poor,1,3G,1
1,Public,1,11,Mobile,No,0,Mid,0,3G,1
2,Private,1,23,Computer,Yes,1,Mid,1,3G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Private,0,11,Mobile,No,1,Mid,0,3G,2
1,Private,1,11,Mobile,No,1,Mid,0,3G,2
2,Private,0,23,Mobile,No,0,Mid,1,4G,1
1,Private,0,11,Mobile,Yes,1,Mid,0,3G,2
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
1,Private,1,9,Mobile,No,1,Poor,0,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,3G,2
1,Private,0,11,Mobile,No,1,Poor,0,3G,2
1,Private,0,11,Mobile,No,1,Poor,1,3G,2
2,Private,0,23,Mobile,Yes,1,Mid,1,4G,2
1,Private,0,18,Mobile,No,1,Mid,1,4G,1
1,Public,1,11,Mobile,No,1,Mid,1,4G,0
2,Private,1,23,Computer,Yes,0,Mid,1,4G,2
2,Private,1,23,Mobile,Yes,0,Poor,0,3G,2
2,Private,1,23,Computer,No,1,Mid,1,4G,2
2,Public,0,27,Mobile,No,1,Mid,0,4G,1
2,Private,0,23,Mobile,No,1,Mid,1,2G,2
2,Private,1,23,Mobile,Yes,1,Mid,1,4G,1
2,Public,0,23,Mobile,No,1,Mid,0,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Public,0,11,Mobile,No,1,Rich,1,4G,2
0,Private,0,18,Mobile,No,0,Mid,1,4G,2
1,Private,0,11,Mobile,No,0,Mid,0,3G,1
1,Private,0,9,Mobile,No,1,Poor,1,4G,2
2,Private,1,23,Computer,Yes,1,Mid,1,3G,2
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
2,Public,1,23,Mobile,Yes,1,Mid,0,3G,2
2,Private,1,23,Computer,No,1,Mid,1,4G,2
0,Private,0,18,Mobile,No,1,Mid,1,4G,1
0,Public,1,18,Mobile,No,0,Mid,1,4G,1
2,Public,1,23,Mobile,No,0,Poor,0,3G,1
1,Private,0,11,Mobile,No,1,Poor,1,3G,2
1,Private,1,11,Mobile,No,1,Mid,0,3G,2
0,Public,1,18,Mobile,No,1,Mid,1,4G,2
2,Private,0,23,Mobile,No,1,Mid,0,4G,2
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
2,Public,1,27,Mobile,Yes,1,Rich,1,4G,0
1,Private,0,11,Mobile,No,1,Poor,0,3G,1
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,1
0,Private,0,18,Mobile,No,1,Mid,1,4G,2
1,Private,1,9,Mobile,No,1,Poor,0,4G,1
0,Public,1,18,Mobile,No,1,Mid,1,4G,1
1,Private,0,9,Mobile,No,1,Poor,1,4G,2
0,Public,0,18,Mobile,No,1,Mid,1,4G,2
2,Public,0,18,Mobile,No,1,Mid,1,4G,1
0,Private,0,18,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Mobile,No,1,Poor,0,4G,0
1,Private,1,11,Mobile,Yes,1,Mid,0,4G,2
2,Private,1,23,Mobile,No,1,Mid,1,4G,2
1,Public,1,11,Mobile,No,1,Mid,0,4G,2
1,Private,0,11,Mobile,No,1,Mid,0,3G,2
1,Private,0,10,Mobile,No,1,Mid,0,2G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
2,Private,0,18,Mobile,Yes,1,Mid,0,3G,1
2,Public,0,23,Mobile,No,0,Mid,0,2G,1
2,Private,1,23,Mobile,No,0,Poor,0,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,3G,1
2,Public,1,27,Mobile,No,0,Poor,0,4G,1
0,Public,0,18,Mobile,No,0,Mid,0,4G,1
2,Private,0,23,Mobile,Yes,1,Mid,1,4G,1
2,Private,1,23,Computer,Yes,1,Poor,1,4G,0
2,Private,1,23,Mobile,No,0,Mid,0,4G,2
0,Public,1,23,Mobile,Yes,0,Poor,0,4G,1
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
1,Private,1,11,Mobile,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Poor,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,1,4G,2
1,Private,0,9,Mobile,No,1,Mid,0,4G,2
2,Public,0,23,Mobile,No,1,Mid,0,4G,2
1,Public,0,9,Mobile,No,1,Rich,0,4G,1
1,Private,1,11,Mobile,No,1,Poor,0,4G,2
2,Private,1,23,Tab,No,1,Rich,1,4G,0
0,Public,0,18,Mobile,No,0,Mid,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Computer,No,1,Rich,1,4G,0
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
1,Private,1,9,Mobile,No,1,Mid,1,4G,1
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
2,Public,1,23,Mobile,No,0,Poor,0,4G,2
1,Private,0,18,Computer,No,1,Mid,1,4G,1
0,Public,1,18,Tab,Yes,1,Mid,1,4G,2
1,Private,1,11,Mobile,No,1,Rich,0,3G,2
2,Private,1,23,Tab,No,1,Mid,1,4G,2
2,Public,1,23,Mobile,Yes,1,Mid,0,3G,2
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
0,Private,0,18,Mobile,No,0,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Poor,0,3G,2
1,Private,1,11,Mobile,No,1,Mid,1,4G,2
0,Private,0,18,Mobile,No,1,Mid,1,4G,2
1,Private,0,11,Mobile,No,1,Poor,0,3G,1
2,Private,1,23,Tab,No,1,Mid,1,4G,2
2,Public,0,23,Mobile,No,1,Mid,1,4G,1
0,Private,0,18,Mobile,No,1,Mid,1,4G,1
1,Private,0,11,Mobile,No,1,Poor,0,3G,1
1,Private,1,11,Mobile,No,1,Rich,0,3G,2
2,Private,1,23,Mobile,No,1,Mid,0,4G,1
1,Private,0,9,Mobile,No,1,Mid,0,4G,2
1,Private,0,11,Mobile,No,1,Poor,0,3G,1
0,Private,0,18,Mobile,No,0,Mid,0,3G,1
2,Public,1,23,Mobile,Yes,0,Mid,0,3G,2
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
1,Public,1,11,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Mobile,No,0,Mid,0,4G,2
0,Public,0,23,Mobile,No,0,Mid,0,3G,1
1,Private,0,11,Mobile,No,1,Mid,0,3G,2
2,Public,1,23,Mobile,Yes,1,Mid,1,3G,1
2,Private,0,23,Mobile,No,1,Poor,1,4G,1
2,Private,0,23,Mobile,Yes,0,Mid,0,3G,2
0,Private,0,18,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Mobile,Yes,1,Mid,1,4G,2
2,Private,1,23,Mobile,No,1,Mid,0,4G,1
0,Public,1,18,Mobile,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
2,Public,0,27,Mobile,No,0,Poor,0,4G,1
1,Private,0,9,Mobile,No,1,Mid,0,4G,2
0,Public,0,23,Mobile,Yes,1,Mid,0,4G,2
1,Private,0,11,Mobile,No,1,Mid,0,4G,2
1,Public,1,18,Mobile,No,1,Mid,1,4G,2
2,Private,0,23,Computer,Yes,1,Mid,1,3G,1
2,Private,1,23,Mobile,Yes,0,Poor,0,3G,2
2,Public,0,27,Mobile,No,1,Mid,0,4G,1
1,Private,1,10,Mobile,No,1,Rich,1,4G,2
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
1,Private,1,11,Mobile,No,1,Poor,0,4G,2
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
2,Public,0,27,Mobile,No,0,Poor,0,4G,1
0,Private,0,18,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Computer,No,1,Mid,1,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
0,Public,1,18,Mobile,Yes,0,Rich,1,4G,1
0,Public,1,18,Mobile,Yes,1,Mid,0,4G,2
1,Private,0,11,Mobile,No,1,Mid,0,3G,2
1,Private,0,10,Mobile,No,1,Mid,0,3G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,3G,2
1,Private,0,10,Mobile,No,1,Poor,0,3G,0
2,Private,1,23,Computer,Yes,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
2,Private,1,23,Mobile,Yes,1,Poor,0,3G,1
2,Private,1,23,Computer,No,1,Rich,1,4G,0
0,Public,0,18,Mobile,No,1,Mid,0,3G,1
1,Private,0,11,Mobile,No,1,Mid,0,3G,2
0,Public,0,18,Mobile,No,1,Mid,1,3G,2
1,Private,0,18,Mobile,No,1,Mid,1,4G,1
1,Public,1,18,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
2,Public,0,18,Mobile,No,1,Mid,1,4G,1
2,Private,1,27,Mobile,Yes,1,Mid,1,3G,2
0,Public,1,23,Mobile,Yes,1,Mid,0,4G,2
1,Public,0,10,Mobile,No,0,Mid,0,3G,1
1,Private,0,11,Mobile,No,0,Mid,0,3G,1
2,Public,1,23,Mobile,Yes,1,Mid,0,3G,2
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
2,Public,0,27,Mobile,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Mid,1,4G,1
2,Public,1,23,Mobile,No,0,Mid,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,3G,1
2,Private,1,23,Computer,Yes,0,Mid,1,4G,2
0,Public,1,18,Mobile,No,1,Mid,1,3G,2
2,Public,1,23,Mobile,Yes,0,Mid,0,3G,2
1,Private,1,11,Mobile,No,1,Mid,0,3G,2
1,Private,1,11,Mobile,No,1,Mid,1,4G,2
2,Private,1,27,Computer,Yes,1,Poor,0,3G,2
1,Public,0,11,Mobile,No,0,Mid,0,3G,1
0,Private,0,18,Mobile,No,1,Mid,1,4G,0
1,Private,0,11,Mobile,No,1,Mid,0,4G,2
0,Private,0,18,Mobile,No,0,Mid,1,4G,1
2,Public,0,27,Mobile,No,0,Poor,0,4G,1
1,Private,0,18,Computer,No,1,Mid,1,4G,1
2,Public,1,23,Mobile,Yes,1,Mid,0,3G,1
2,Private,0,23,Mobile,No,0,Mid,1,4G,1
2,Private,1,23,Mobile,Yes,1,Rich,1,4G,1
2,Private,1,23,Computer,Yes,1,Poor,1,4G,0
2,Public,0,27,Mobile,No,1,Mid,1,4G,1
1,Public,1,18,Mobile,No,1,Mid,1,4G,2
0,Public,1,18,Mobile,No,1,Mid,1,3G,2
2,Public,1,27,Computer,Yes,1,Mid,1,4G,1
0,Public,1,18,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Mobile,No,1,Mid,0,4G,1
2,Public,0,27,Mobile,No,0,Poor,0,4G,1
2,Private,1,23,Computer,Yes,1,Mid,1,4G,0
1,Private,0,9,Mobile,No,1,Poor,0,4G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
2,Public,1,27,Mobile,Yes,1,Rich,1,4G,0
2,Private,1,23,Computer,Yes,1,Rich,1,4G,0
2,Private,1,23,Computer,Yes,1,Poor,1,4G,0
2,Private,1,23,Tab,No,1,Mid,1,4G,2
0,Private,0,18,Mobile,No,0,Mid,1,4G,1
1,Private,0,9,Mobile,No,1,Mid,0,4G,2
2,Public,1,27,Computer,Yes,1,Mid,1,4G,1
0,Public,1,18,Mobile,No,0,Mid,0,3G,1
2,Private,1,27,Mobile,Yes,1,Mid,1,3G,2
2,Public,1,18,Computer,No,1,Mid,1,3G,2
2,Public,0,18,Mobile,No,1,Mid,1,4G,1
1,Private,0,11,Mobile,No,1,Mid,0,3G,2
1,Private,0,10,Mobile,No,1,Mid,0,3G,2
1,Private,0,11,Computer,No,1,Mid,1,4G,2
0,Public,0,18,Mobile,No,1,Mid,0,3G,1
1,Private,1,9,Mobile,No,1,Mid,1,4G,1
2,Public,0,27,Mobile,No,0,Poor,0,4G,1
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
2,Private,1,23,Computer,Yes,1,Mid,1,4G,0
1,Private,1,11,Computer,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
2,Public,1,23,Mobile,No,0,Poor,0,4G,2
2,Public,0,27,Computer,Yes,1,Poor,0,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,0
2,Public,0,23,Mobile,No,1,Mid,0,4G,1
2,Private,0,23,Mobile,Yes,0,Mid,0,3G,2
2,Private,0,23,Mobile,Yes,1,Mid,1,4G,1
2,Public,0,27,Mobile,No,1,Mid,0,4G,1
2,Private,0,23,Tab,No,1,Mid,1,4G,2
1,Private,1,11,Mobile,No,1,Poor,1,4G,1
0,Private,0,18,Mobile,No,1,Mid,0,3G,2
2,Private,1,23,Mobile,Yes,1,Mid,0,3G,2
0,Private,1,18,Mobile,No,1,Mid,1,4G,2
2,Public,0,27,Mobile,No,1,Mid,1,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
1,Private,1,11,Mobile,No,1,Poor,0,3G,1
2,Public,0,23,Mobile,No,1,Mid,0,4G,2
0,Public,1,23,Mobile,No,1,Mid,0,4G,1
2,Private,0,23,Mobile,No,1,Mid,1,3G,0
2,Private,1,23,Mobile,Yes,1,Rich,1,4G,1
1,Private,0,11,Mobile,No,1,Mid,0,3G,2
1,Private,0,11,Mobile,No,1,Poor,0,4G,2
2,Private,0,23,Computer,Yes,1,Rich,1,4G,0
1,Public,1,9,Mobile,No,0,Mid,0,4G,1
1,Private,0,18,Mobile,No,1,Poor,0,3G,1
2,Public,1,23,Mobile,No,0,Poor,0,4G,2
2,Public,0,23,Mobile,No,1,Poor,0,4G,1
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
2,Private,1,23,Mobile,Yes,1,Mid,1,4G,1
2,Public,1,23,Mobile,No,0,Poor,0,3G,1
2,Private,1,23,Computer,Yes,1,Poor,1,3G,2
1,Private,1,11,Mobile,No,1,Mid,0,4G,2
2,Private,1,23,Mobile,No,1,Poor,0,4G,0
2,Private,1,23,Mobile,Yes,0,Mid,0,3G,0
2,Private,1,23,Mobile,No,1,Poor,0,4G,0
1,Private,0,11,Mobile,No,1,Rich,1,3G,0
2,Private,1,23,Computer,Yes,0,Mid,0,3G,2
0,Public,1,23,Mobile,No,0,Poor,0,3G,1
1,Public,1,11,Mobile,No,0,Poor,0,3G,1
0,Public,0,18,Mobile,No,1,Mid,1,4G,2
2,Private,1,23,Mobile,Yes,1,Mid,1,3G,1
2,Private,1,23,Mobile,Yes,0,Poor,0,3G,2
2,Public,1,23,Mobile,No,1,Mid,0,3G,1
